year,month,n_tokens_title,n_tokens_content,num_imgs,num_videos,aticle_type,week_day,shares,popular
2013,1,12,219,1,0,Entertainment,Monday,593,0
2013,1,9,255,1,0,Business,Monday,711,0
2013,1,9,211,1,0,Business,Monday,1500,1
2013,1,9,531,1,0,Entertainment,Monday,1200,0
2013,1,13,1072,20,0,Tech,Monday,505,0
2013,1,10,370,0,0,Tech,Monday,855,0
2013,1,8,960,20,0,Lifestyle,Monday,556,0
2013,1,12,989,20,0,Tech,Monday,891,0
2013,1,11,97,0,0,Tech,Monday,3600,1
2013,1,10,231,1,1,Viral,Monday,710,0
2013,1,9,1248,1,0,Viral,Monday,2200,1
2013,1,10,187,1,0,Lifestyle,Monday,1900,1
2013,1,9,274,11,0,Viral,Monday,823,0
2013,1,9,285,0,21,Viral,Monday,10000,1
2013,1,8,259,9,0,Viral,Monday,761,0
2013,1,12,682,1,0,Viral,Monday,1600,1
2013,1,8,1118,12,1,Viral,Monday,13600,1
2013,1,8,397,1,0,Business,Monday,3100,1
2013,1,11,103,1,0,Lifestyle,Monday,5700,1
2013,1,8,1207,42,0,Tech,Monday,17100,1
2013,1,13,1248,20,0,Tech,Monday,2800,1
2013,1,9,391,1,1,Viral,Monday,598,0
2013,1,11,1154,20,0,Tech,Monday,445,0
2013,1,11,125,1,0,Viral,Monday,1500,1
2013,1,13,244,1,0,Business,Monday,852,0
2013,1,8,266,1,0,Tech,Monday,783,0
2013,1,8,331,1,0,Tech,Monday,1500,1
2013,1,12,1225,28,0,Tech,Monday,1800,1
2013,1,10,243,0,0,Lifestyle,Monday,462,0
2013,1,11,723,1,0,Business,Monday,425,0
2013,1,8,708,1,1,Business,Monday,3200,1
2013,1,10,633,19,0,Tech,Monday,3900,1
2013,1,14,290,14,0,Tech,Monday,480,0
2013,1,10,597,1,0,Viral,Monday,573,0
2013,1,8,204,1,0,Lifestyle,Monday,3600,1
2013,1,11,315,1,0,Lifestyle,Monday,343,0
2013,1,10,1244,20,0,Tech,Monday,7700,1
2013,1,8,257,0,1,Social Media,Monday,2600,1
2013,1,11,799,1,0,Viral,Monday,504,0
2013,1,14,194,0,1,Entertainment,Monday,2100,1
2013,1,10,1036,20,0,Tech,Monday,1100,0
2013,1,6,174,1,0,Tech,Monday,401,0
2013,1,14,1237,42,0,Tech,Monday,4200,1
2013,1,10,1081,20,0,Tech,Monday,1200,0
2013,1,9,1022,20,0,Tech,Monday,1500,1
2013,1,10,142,1,0,Business,Monday,575,0
2013,1,10,1190,20,0,Lifestyle,Monday,507,0
2013,1,12,161,0,6,Entertainment,Monday,1200,0
2013,1,11,1108,20,0,Tech,Monday,695,0
2013,1,11,1089,20,0,Tech,Monday,1200,0
2013,1,11,214,0,1,Tech,Monday,4900,1
2013,1,9,944,20,0,Tech,Monday,382,0
2013,1,9,1030,20,0,Tech,Monday,400,0
2013,1,11,454,1,0,Entertainment,Monday,4600,1
2013,1,9,1115,20,0,Tech,Monday,2400,1
2013,1,10,555,1,0,Tech,Monday,1600,1
2013,1,9,474,1,0,Viral,Monday,1100,0
2013,1,8,130,0,0,Tech,Monday,1300,0
2013,1,12,444,23,0,Business,Monday,819,0
2013,1,9,280,10,1,Tech,Monday,585,0
2013,1,13,1024,19,0,Tech,Monday,536,0
2013,1,12,238,1,0,Tech,Monday,834,0
2013,1,9,1070,20,0,Tech,Monday,645,0
2013,1,12,463,4,0,Tech,Monday,598,0
2013,1,11,1005,20,0,Tech,Monday,217,0
2013,1,8,403,1,0,Tech,Monday,3200,1
2013,1,7,251,1,1,Tech,Monday,545,0
2013,1,11,317,1,0,Viral,Monday,1800,1
2013,1,12,177,1,0,Entertainment,Monday,1200,0
2013,1,6,109,1,0,Business,Monday,732,0
2013,1,11,399,1,0,Viral,Monday,1200,0
2013,1,13,460,1,0,Tech,Monday,2800,1
2013,1,9,443,1,0,Viral,Monday,495,0
2013,1,8,218,11,0,Social Media,Monday,690,0
2013,1,12,988,20,0,Tech,Monday,1300,0
2013,1,6,374,1,0,Lifestyle,Monday,552,0
2013,1,5,356,12,1,Entertainment,Monday,631,0
2013,1,9,1226,1,1,Social Media,Monday,4800,1
2013,1,10,1121,1,0,Social Media,Monday,851,0
2013,1,12,288,0,0,Viral,Tuesday,755,0
2013,1,10,414,1,0,Viral,Tuesday,468,0
2013,1,11,134,9,0,Tech,Tuesday,4600,1
2013,1,11,281,1,0,Entertainment,Tuesday,1300,0
2013,1,12,499,1,0,Lifestyle,Tuesday,1200,0
2013,1,9,268,9,0,Tech,Tuesday,1100,0
2013,1,7,925,20,0,Tech,Tuesday,1500,1
2013,1,10,261,16,0,Viral,Tuesday,2400,1
2013,1,13,306,1,0,Business,Tuesday,1200,0
2013,1,10,909,1,1,Entertainment,Tuesday,1700,1
2013,1,12,999,20,0,Tech,Tuesday,1200,0
2013,1,12,1011,20,0,Tech,Tuesday,500,0
2013,1,10,413,13,0,Entertainment,Wednesday,455,0
2013,1,9,180,0,0,Tech,Wednesday,1100,0
2013,1,9,759,1,0,Business,Wednesday,459,0
2013,1,13,1226,1,0,Tech,Wednesday,1400,1
2013,1,6,241,1,0,Entertainment,Wednesday,6400,1
2013,1,9,168,11,0,Social Media,Wednesday,4800,1
2013,1,10,1121,19,0,Tech,Wednesday,695,0
2013,1,7,1174,1,0,Viral,Wednesday,341,0
2013,1,7,376,0,11,Entertainment,Wednesday,1900,1
2013,1,9,142,0,1,Viral,Wednesday,1200,0
2013,1,9,825,19,0,Viral,Wednesday,450,0
2013,1,9,883,19,0,Tech,Wednesday,663,0
2013,1,6,1125,19,0,Tech,Wednesday,302,0
2013,1,10,498,1,0,World,Wednesday,971,0
2013,1,12,540,10,0,Viral,Wednesday,1400,1
2013,1,12,855,1,0,Entertainment,Wednesday,1000,0
2013,1,11,223,0,0,Lifestyle,Wednesday,1900,1
2013,1,11,349,1,0,Entertainment,Wednesday,1100,0
2013,1,7,1007,20,0,Lifestyle,Wednesday,1100,0
2013,1,13,464,8,1,Entertainment,Wednesday,1500,1
2013,1,9,233,1,0,Business,Wednesday,2000,1
2013,1,9,167,0,1,Viral,Wednesday,5700,1
2013,1,11,825,10,1,Viral,Wednesday,7100,1
2013,1,11,1099,20,0,Lifestyle,Wednesday,1200,0
2013,1,7,263,0,0,Tech,Wednesday,705,0
2013,1,10,468,1,0,Business,Wednesday,1900,1
2013,1,7,346,11,0,Viral,Wednesday,3800,1
2013,1,9,455,1,0,Lifestyle,Wednesday,2300,1
2013,1,9,81,0,0,Entertainment,Wednesday,575,0
2013,1,11,308,1,0,Entertainment,Wednesday,1800,1
2013,1,11,235,0,0,Tech,Wednesday,1600,1
2013,1,13,141,1,0,Tech,Wednesday,1900,1
2013,1,6,389,1,1,Viral,Wednesday,5600,1
2013,1,10,261,1,0,Viral,Wednesday,1500,1
2013,1,9,100,1,0,Social Media,Wednesday,9200,1
2013,1,8,270,1,11,Entertainment,Wednesday,1700,1
2013,1,7,105,8,0,Viral,Wednesday,6000,1
2013,1,10,258,11,0,Lifestyle,Wednesday,752,0
2013,1,10,254,0,3,Entertainment,Wednesday,19400,1
2013,1,14,318,1,0,Lifestyle,Wednesday,1700,1
2013,1,9,965,19,0,Tech,Wednesday,1600,1
2013,1,11,1030,20,0,Tech,Wednesday,788,0
2013,1,9,231,0,0,Entertainment,Wednesday,454,0
2013,1,8,935,28,0,Tech,Wednesday,1100,0
2013,1,10,701,1,1,Tech,Wednesday,2800,1
2013,1,13,328,11,1,Viral,Wednesday,1600,1
2013,1,13,281,10,1,Viral,Wednesday,2000,1
2013,1,12,537,1,0,World,Wednesday,412,0
2013,1,10,259,0,0,Viral,Wednesday,1100,0
2013,1,12,1455,26,0,Viral,Wednesday,417,0
2013,1,10,1596,8,0,Social Media,Wednesday,1600,1
2013,1,6,164,1,0,Business,Wednesday,2500,1
2013,1,10,424,1,0,Business,Wednesday,474,0
2013,1,8,345,1,0,Entertainment,Wednesday,2100,1
2013,1,10,138,0,1,Viral,Wednesday,513,0
2013,1,11,459,1,0,Viral,Wednesday,10400,1
2013,1,8,794,15,0,Viral,Wednesday,2200,1
2013,1,11,291,1,0,Tech,Wednesday,5600,1
2013,1,10,614,1,0,Viral,Wednesday,373,0
2013,1,7,144,1,0,Lifestyle,Wednesday,1000,0
2013,1,12,249,0,0,Entertainment,Wednesday,3200,1
2013,1,7,142,0,1,Viral,Wednesday,657,0
2013,1,10,221,1,0,Tech,Wednesday,2100,1
2013,1,9,82,1,0,Tech,Wednesday,727,0
2013,1,11,289,13,0,Entertainment,Wednesday,350,0
2013,1,11,173,1,0,Business,Wednesday,1900,1
2013,1,10,957,20,0,Tech,Wednesday,1200,0
2013,1,10,372,1,0,Viral,Wednesday,2800,1
2013,1,8,640,1,0,Viral,Wednesday,341,0
2013,1,9,330,1,0,Business,Wednesday,648,0
2013,1,8,453,9,0,Tech,Wednesday,1300,0
2013,1,11,1265,20,0,Tech,Wednesday,1000,0
2013,1,12,981,20,0,Tech,Wednesday,1300,0
2013,1,10,381,1,0,Business,Wednesday,1700,1
2013,1,12,292,0,0,Tech,Wednesday,4600,1
2013,1,9,165,1,0,Entertainment,Wednesday,2700,1
2013,1,8,1020,19,0,Lifestyle,Wednesday,1700,1
2013,1,9,230,1,1,Viral,Wednesday,450,0
2013,1,8,123,0,0,Lifestyle,Wednesday,939,0
2013,1,8,258,1,0,Tech,Wednesday,1600,1
2013,1,12,983,19,0,Lifestyle,Wednesday,866,0
2013,1,12,180,1,0,Business,Wednesday,606,0
2013,1,11,272,8,0,Entertainment,Wednesday,5000,1
2013,1,11,277,15,0,Entertainment,Wednesday,11500,1
2013,1,11,365,1,0,Viral,Wednesday,529,0
2013,1,14,114,0,1,Viral,Wednesday,28000,1
2013,1,11,1058,20,0,Lifestyle,Wednesday,1700,1
2013,1,8,211,1,0,Lifestyle,Wednesday,761,0
2013,1,12,373,0,0,Business,Wednesday,958,0
2013,1,7,144,1,0,Entertainment,Thursday,904,0
2013,1,9,760,0,16,Viral,Thursday,1200,0
2013,1,13,204,1,0,Entertainment,Thursday,4500,1
2013,1,15,481,1,0,Business,Thursday,1200,0
2013,1,12,246,1,0,Entertainment,Thursday,427,0
2013,1,10,182,1,1,Tech,Thursday,1300,0
2013,1,10,498,1,0,Business,Thursday,3200,1
2013,1,7,175,1,0,Lifestyle,Thursday,377,0
2013,1,7,252,0,0,Entertainment,Thursday,3400,1
2013,1,9,334,1,0,Lifestyle,Thursday,972,0
2013,1,10,283,0,21,World,Thursday,979,0
2013,1,12,284,1,0,Business,Thursday,737,0
2013,1,11,1077,20,0,Business,Thursday,3800,1
2013,1,6,1160,19,0,Tech,Thursday,396,0
2013,1,10,289,1,0,Tech,Thursday,1700,1
2013,1,11,848,1,3,Entertainment,Thursday,676,0
2013,1,12,211,0,0,Tech,Thursday,2900,1
2013,1,10,951,1,0,Tech,Thursday,2500,1
2013,1,11,286,0,0,Tech,Thursday,1400,1
2013,1,13,577,11,0,Entertainment,Thursday,484,0
2013,1,7,505,6,0,Entertainment,Thursday,7500,1
2013,1,8,255,1,0,Business,Thursday,441,0
2013,1,14,252,0,0,Lifestyle,Thursday,922,0
2013,1,9,757,1,0,Viral,Thursday,473,0
2013,1,9,152,0,0,Viral,Thursday,3200,1
2013,1,10,357,1,0,Viral,Thursday,1600,1
2013,1,13,326,0,21,Viral,Thursday,1300,0
2013,1,8,1314,20,0,Lifestyle,Thursday,1300,0
2013,1,6,397,1,0,Lifestyle,Thursday,5600,1
2013,1,8,767,10,0,Tech,Thursday,8100,1
2013,1,10,317,1,0,World,Thursday,5500,1
